EA_TUNNUS	LAHIN_TSA	NIMI_FI	EANIMI_FI	TIE	TIEOSA	ETAISYYS	X	Y	KUNNAN_NIMI
C0252302	2020	Tie 2 Honkaluoto	Tie 2 Helsinkiin	2	46	6136	6823623	224702	Pori
C0252303	2020	Tie 2 Honkaluoto	Tie 11 Poriin	2	46	6136	6823623	224702	Pori
C0252304	2020	Tie 2 Honkaluoto	Tie 11 Tampereelle	2	46	6136	6823623	224702	Pori
C0252309	2020	Tie 2 Honkaluoto	Tienpinta	2	46	6136	6823623	224702	Pori
C0153301	1041	Tie 3 Klaukkala	Tampereelle	3	103	7450	6692893	379101	Vantaa
C0153302	1041	Tie 3 Klaukkala	Helsinkiin	3	103	7450	6692893	379101	Vantaa
C0153303	1041	Tie 3 Klaukkala	Klaukkalaan	3	103	7450	6692893	379101	Vantaa
C0153309	1041	Tie 3 Klaukkala	Tienpinta	3	103	7450	6692893	379101	Vantaa
C0150901	1020	Tie 3 Hyvinkää	Tie 3 Tampereelle	3	108	0	6716432	380442	Hyvinkää
C0150902	1020	Tie 3 Hyvinkää	Tie 3 Helsinkiin	3	108	0	6716432	380442	Hyvinkää
C0150903	1020	Tie 3 Hyvinkää	Tie 25 Mäntsälään	3	108	0	6716432	380442	Hyvinkää
C0150904	1020	Tie 3 Hyvinkää	Tie 25 Hankoon	3	108	0	6716432	380442	Hyvinkää
C0150909	1020	Tie 3 Hyvinkää	Tie 3 Tienpinta	3	108	0	6716432	380442	Hyvinkää
C0451801	4009	Tie 3 Riihimäki	Tie 3 Hämeenlinnaan	3	112	15	6737033	376257	Riihimäki
C0451802	4009	Tie 3 Riihimäki	Tie 3 Helsinkiin	3	112	15	6737033	376257	Riihimäki
C0451803	4009	Tie 3 Riihimäki	Tie 54 Lahteen	3	112	15	6737033	376257	Riihimäki
C0451804	4009	Tie 3 Riihimäki	Tie 54 Turkuun	3	112	15	6737033	376257	Riihimäki
C0451809	4009	Tie 3 Riihimäki	Tienpinta	3	112	15	6737033	376257	Riihimäki
C0456601	4004	Tie 3 Janakkala, Turenki	Hämeenlinnaan	3	115	0	6755516	366774	Janakkala
C0456602	4004	Tie 3 Janakkala, Turenki	Helsinkiin	3	115	0	6755516	366774	Janakkala
C0456603	4004	Tie 3 Janakkala, Turenki	Tie 292 Turenkiin	3	115	0	6755516	366774	Janakkala
C0456604	4004	Tie 3 Janakkala, Turenki	Tie 292 Viralaan	3	115	0	6755516	366774	Janakkala
C0456609	4004	Tie 3 Janakkala, Turenki	Tienpinta	3	115	0	6755516	366774	Janakkala
C0450201	4004	Tie 3 Hämeenlinna	Tie 3 Tampereelle	3	115	7640	6762231	363230	Hämeenlinna
C0450202	4004	Tie 3 Hämeenlinna	Tie 3 Helsinkiiin	3	115	7640	6762231	363230	Hämeenlinna
C0450203	4004	Tie 3 Hämeenlinna	Tie 10 Lahteen	3	115	7640	6762231	363230	Hämeenlinna
C0450204	4004	Tie 3 Hämeenlinna	Tie 10 Turkuun	3	115	7640	6762231	363230	Hämeenlinna
C0450209	4004	Tie 3 Hämeenlinna	Tienpinta	3	115	7640	6762231	363230	Hämeenlinna
C0455600	4004	Tie 3 Hämeenlinna, Etelä		3	116	2241	6764317	362564	Hämeenlinna
C0455800	4004	Tie 3 Hämeenlinna, Puomi Etelä		3	116	2242	6764317	362564	Hämeenlinna
C0455900	4004	Tie 3 Hämeenlinna, P1		3	116	2550	6764598	362465	Hämeenlinna
C0456100	4004	Tie 3 Hämeenlinna, E2		3	116	2686	6764725	362410	Hämeenlinna
C0456000	4004	Tie 3 Hämeenlinna, P2		3	116	2703	6764754	362418	Hämeenlinna
C0456200	4004	Tie 3 Hämeenlinna, E1		3	116	2818	6764849	362370	Hämeenlinna
C0456300	4004	Tie 3 Hämeenlinna, Pohjoinen		3	116	3064	6765083	362266	Hämeenlinna
C0456400	4004	Tie 3 Hämeenlinna, Puomi Pohjoine		3	116	3335	6765341	362217	Hämeenlinna
C0456500	4004	Tie 3 Hämeenlinna, Ojoinen		3	116	3736	6765711	362052	Hämeenlinna
C0452701	4027	Tie 3 Valkeakoski	Tampereelle	3	124	340	6791987	330275	Valkeakoski
C0452702	4027	Tie 3 Valkeakoski	Hämeenlinnaan	3	124	340	6791987	330275	Valkeakoski
C0452709	4027	Tie 3 Valkeakoski	Tienpinta	3	124	340	6791987	330275	Valkeakoski
C0450701	4006	Tie 3 Tampere, Lakalaiva	Vaasaan	3	136	0	6818584	327875	Tampere
C0450702	4006	Tie 3 Tampere, Lakalaiva	Helsinkiin	3	136	0	6818584	327875	Tampere
C0450703	4006	Tie 3 Tampere, Lakalaiva	Tie 9 Jyväskylään	3	136	0	6818584	327875	Tampere
C0450704	4006	Tie 3 Tampere, Lakalaiva	Tie 3495 Tampereelle	3	136	0	6818584	327875	Tampere
C0450709	4006	Tie 3 Tampere, Lakalaiva	Tie 9 Tienpinta	3	136	0	6818584	327875	Tampere
C0453000	4029	Tie 3 Pirkkahalli		3	136	2560	6818792	325430	Tampere
C0452801	4029	Tie 3 Pirkkala	Vaasaan	3	137	245	6817843	320718	Pirkkala
C0452802	4029	Tie 3 Pirkkala	Helsinkiin	3	137	245	6817843	320718	Pirkkala
C0452809	4029	Tie 3 Pirkkala	Tienpinta	3	137	245	6817843	320718	Pirkkala
C0453300	4029	Tie 3 Rajaniemi		3	138	795	6819972	318682	Tampere
C0450900	4029	Tie 3 Pitkäniemi		3	138	2836	6821914	318190	Nokia
C0450601	4024	Tie 3 Sasi	Vaasaan	3	204	5200	6834881	308176	Hämeenkyrö
C0450602	4024	Tie 3 Sasi	Tampereelle	3	204	5200	6834881	308176	Hämeenkyrö
C0450609	4024	Tie 3 Sasi	Tienpinta	3	204	5200	6834881	308176	Hämeenkyrö
C0453702	2007	Tie 3 Luhalahti	Tampereelle	3	214	245	6869680	288829	Ikaalinen
C0451602	2010	Tie 3 Parkano	Tampereelle	3	219	3790	6900193	290813	Parkano
C1050401	10007	Tie 3 Jalasjärvi	Vaasaan	3	226	1280	6932572	281985	Jalasjärvi
C1050402	10007	Tie 3 Jalasjärvi	Tampereelle	3	226	1280	6932572	281985	Jalasjärvi
C1050409	10007	Tie 3 Jalasjärvi	Tienpinta	3	226	1280	6932572	281985	Jalasjärvi
C1051401	10008	Tie 3 Kurikka, Tuiskula	Vaasaan	3	234	3445	6955437	266213	Kurikka
C1051402	10008	Tie 3 Kurikka, Tuiskula	Tampereelle	3	234	3445	6955437	266213	Kurikka
C1051409	10008	Tie 3 Kurikka, Tuiskula	Tienpinta	3	234	3445	6955437	266213	Kurikka
C1052701	10011	Tie 3 Laihia	Vaasaan	3	244	4274	6992153	248047	Laihia
C1052702	10011	Tie 3 Laihia	Tampereelle	3	244	4274	6992153	248047	Laihia
C1052709	10011	Tie 3 Laihia	Tienpinta	3	244	4274	6992153	248047	Laihia
C1053601	10011	Tie 3 Laihia, Ruto	Vaasaan	3	248	180	6995987	241817	Laihia
C1053602	10011	Tie 3 Laihia, Ruto	Tampereelle	3	248	180	6995987	241817	Laihia
C1053609	10011	Tie 3 Laihia, Ruto	Tienpinta	3	248	180	6995987	241817	Laihia
C1050801	10046	Tie 3 Vaasa	Vaasaan	3	250	5689	7004553	232242	Vaasa
C1050802	10046	Tie 3 Vaasa	Laihialle	3	250	5689	7004553	232242	Vaasa
C1050803	10046	Tie 3 Vaasa	Tie 7156 Vanha Vaasa	3	250	5689	7004553	232242	Vaasa
C1050804	10046	Tie 3 Vaasa	Tie 7156 Vanha Satama	3	250	5689	7004553	232242	Vaasa
C1050809	10046	Tie 3 Vaasa	Tienpinta	3	250	5689	7004553	232242	Vaasa
C0152301	1004	Tie 4 Tattarisuo	Lahteen	4	103	1574	6680510	392655	Helsinki
C0152302	1004	Tie 4 Tattarisuo	Helsinkiin	4	103	1574	6680510	392655	Helsinki
C0152309	1004	Tie 4 Tattarisuo	Tienpinta	4	103	1574	6680510	392655	Helsinki
C0153201	1005	Tie 4 Korso	Lahteen	4	106	1790	6692998	395990	Vantaa
C0153202	1005	Tie 4 Korso	Helsinkiin	4	106	1790	6692998	395990	Vantaa
C0153209	1005	Tie 4 Korso	Tienpinta	4	106	1790	6692998	395990	Vantaa
C0158301	1005	Tie 4 Järvenpää	Lahteen	4	108	3372	6706642	397683	Järvenpää
C0158302	1005	Tie 4 Järvenpää	Helsinkiin	4	108	3372	6706642	397683	Järvenpää
C0158309	1005	Tie 4 Järvenpää	Tienpinta	4	108	3372	6706642	397683	Järvenpää
C0150801	1010	Tie 4 Mäntsälä	Tie 4 Lahteen	4	113	3850	6727326	409905	Mäntsälä
C0150802	1010	Tie 4 Mäntsälä	Tie 4 Helsinkiin	4	113	3850	6727326	409905	Mäntsälä
C0150803	1010	Tie 4 Mäntsälä	Tie 140 Lahteen	4	113	3850	6727326	409905	Mäntsälä
